
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      6,228 K
Registry                       140 Services                   0     24,812 K
smss.exe                       908 Services                   0        960 K
csrss.exe                     1312 Services                   0      5,960 K
wininit.exe                   1416 Services                   0      6,132 K
csrss.exe                     1436 Console                    1      6,772 K
services.exe                  1488 Services                   0     15,668 K
lsass.exe                     1496 Services                   0     26,416 K
svchost.exe                   1636 Services                   0     30,628 K
fontdrvhost.exe               1664 Services                   0      2,228 K
svchost.exe                   1736 Services                   0     15,980 K
svchost.exe                   1784 Services                   0      5,324 K
WUDFHost.exe                  1808 Services                   0     13,096 K
WUDFHost.exe                  1880 Services                   0      3,704 K
winlogon.exe                  1940 Console                    1      6,628 K
fontdrvhost.exe               1996 Console                    1      4,976 K
dwm.exe                       1148 Console                    1     91,096 K
svchost.exe                   1536 Services                   0      3,980 K
svchost.exe                   2080 Services                   0      5,296 K
svchost.exe                   2176 Services                   0      6,556 K
svchost.exe                   2196 Services                   0      6,020 K
svchost.exe                   2204 Services                   0      6,968 K
svchost.exe                   2240 Services                   0     12,528 K
svchost.exe                   2248 Services                   0     11,996 K
IntelCpHDCPSvc.exe            2332 Services                   0      4,440 K
svchost.exe                   2348 Services                   0      7,092 K
svchost.exe                   2396 Services                   0      5,332 K
svchost.exe                   2496 Services                   0      3,284 K
svchost.exe                   2620 Services                   0      8,392 K
svchost.exe                   2636 Services                   0      5,112 K
IntelCpHeciSvc.exe            2692 Services                   0      4,044 K
svchost.exe                   2932 Services                   0      5,992 K
svchost.exe                   2948 Services                   0     10,620 K
svchost.exe                   2964 Services                   0      5,392 K
bdservicehost.exe             3036 Services                   0      8,300 K
bdservicehost.exe             3048 Services                   0    212,624 K
svchost.exe                   3408 Services                   0     20,948 K
svchost.exe                   3760 Services                   0      3,592 K
svchost.exe                   3832 Services                   0     24,852 K
svchost.exe                   3940 Services                   0      6,244 K
NVDisplay.Container.exe       3996 Services                   0     13,292 K
bdservicehost.exe             4036 Services                   0     17,700 K
bdservicehost.exe             4044 Services                   0     18,440 K
svchost.exe                   4052 Services                   0     16,776 K
WmiPrvSE.exe                  4128 Services                   0     29,152 K
svchost.exe                   4208 Services                   0      6,964 K
svchost.exe                   4220 Services                   0      5,552 K
svchost.exe                   4228 Services                   0      3,684 K
Memory Compression            4312 Services                   0    418,796 K
igfxCUIService.exe            4364 Services                   0      4,780 K
svchost.exe                   4492 Services                   0      5,256 K
svchost.exe                   4500 Services                   0      1,996 K
svchost.exe                   4868 Services                   0      6,008 K
svchost.exe                   4932 Services                   0     10,820 K
svchost.exe                   5132 Services                   0      4,464 K
bdntwrk.exe                   5148 Services                   0     11,112 K
sihost.exe                    5192 Console                    1     21,308 K
svchost.exe                   5232 Services                   0      4,780 K
svchost.exe                   5272 Console                    1     10,604 K
NVDisplay.Container.exe       5304 Console                    1     18,232 K
svchost.exe                   5344 Services                   0     13,520 K
WmiPrvSE.exe                  5392 Services                   0     47,600 K
svchost.exe                   5616 Console                    1      8,096 K
audiodg.exe                   5688 Services                   0     17,696 K
svchost.exe                   5784 Services                   0      6,636 K
svchost.exe                   5812 Console                    1     23,680 K
svchost.exe                   5868 Services                   0     19,944 K
igfxEM.exe                    5884 Console                    1     11,664 K
svchost.exe                   5940 Services                   0     17,472 K
svchost.exe                   6052 Services                   0     10,124 K
taskhostw.exe                 5636 Console                    1     20,556 K
spoolsv.exe                   6520 Services                   0     12,668 K
explorer.exe                  6732 Console                    1    165,792 K
svchost.exe                   6844 Services                   0      7,956 K
wlanext.exe                   6928 Services                   0      6,544 K
conhost.exe                   6948 Services                   0      4,912 K
bdservicehost.exe             7056 Services                   0     15,052 K
svchost.exe                   7072 Services                   0     15,720 K
OfficeClickToRun.exe          7084 Services                   0     20,548 K
svchost.exe                   7116 Services                   0     25,864 K
AnyDesk.exe                   7140 Services                   0      3,572 K
svchost.exe                   7156 Services                   0     31,052 K
esif_uf.exe                   5568 Services                   0      6,624 K
OneApp.IGCC.WinService.ex     7180 Services                   0     12,292 K
